conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,кліматично розумне сільське господарство,released,knowledge,sector-specific,,"Комплексний підхід до керування ландшафтом, спрямований на підвищення врожайності харчових продуктів, підвищення стійкості сільськогосподарських культур, забезпечення безпеки харчових продуктів, а також на скорочення викидів і адаптацію до зміни клімату.
	",http://data.europa.eu/esco/isced-f/0811,рослинництво й тваринництво
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,готувати контракти на підвищення енергоефективності,released,skill/competence,sector-specific,,"Готувати та перевіряти контракти, які описують енергетичні показники, переконавшись, що вони відповідають вимогам законодавства.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,домовлятися про компроміси | технічне або академічне письмо
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05dbdec3-c9d0-4f15-91ad-0700475a0f75,оцінювати вплив навколишнього середовища на стан ніг великої рогатої худоби,released,skill/competence,occupation-specific,,"Оцінити навколишнє середовище та те, як воно може вплинути на стан ніг великої рогатої худоби. Фактори навколишнього середовища включають дієту, житло та вплив навколишнього середовища.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,консультування з екологічних питань | оцінювати вплив на навколишнє середовище
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,сонячна енергія,released,knowledge,cross-sector,,"Енергія, джерелом якої є світло і тепло сонця, і яку можна використовувати як поновлюване джерело енергії за допомогою різних технологій, як-от фотоелектрика (PV) для виробництва електроенергії та геліотермальна енергетика (STE) для виробництва теплової енергії.
	",http://data.europa.eu/esco/skill/f8413360-6114-40de-a276-c59b764b9913 | http://data.europa.eu/esco/isced-f/0713,технології відновлюваної енергетики | електроенергія та енергія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,контролювати видачу дозволів на земельні ресурси,released,skill/competence,sector-specific,,"Досліджувати потенційний вплив використання земельних ресурсів на воду та водні біотопи. Надавати рекомендації щодо схвалення або відхилення дозволів на ці цілі.
	",http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"підготовка документації для контрактів, заявок або дозволів"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,проєктувати спринклерні системи,released,skill/competence,occupation-specific,,"Проєктувати спринклерні системи. Враховувати питання збереження водних ресурсів, наявні та запропоновані особливості озеленення та часову послідовність наявних систем.
	",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"проєктування промислових матеріалів, систем або виробів"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,виконувати техніко-економічне обґрунтування мінівітроенергетики,released,skill/competence,sector-specific,,"Проводити оцінку та аналіз потенціалу міні-вітроенергетичних систем. Реалізувати стандартизоване дослідження для оцінки необхідного попиту на електроенергію для будівлі, частки міні-вітроенергетики в загальному постачанні, а також провести дослідження для підтримки процесу прийняття рішень.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,виконувати техніко-економічне обґрунтування | аналіз господарських операцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,вирощувати культури для отримання біомаси,released,skill/competence,sector-specific,,"Здійснювати вирощування культур для отримання біомаси, переробку культур для отримання біомаси.
	",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,обробка землі та вирощування сільськогосподарських культур
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,оглядати силосні системи,released,skill/competence,sector-specific,,"Оглядати силосні системи, щоб звести до мінімуму будь-які шкідливі викиди під час їх використання.
	",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,дотримання законів і стандартів охорони навколишнього середовища
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,інтерпретувати наукові дані для оцінки якості води,released,skill/competence,cross-sector,,"Аналізувати та інтерпретувати дані, такі як біологічні властивості, щоб дізнатися про якість води.
	",http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"керувати тестуванням якості води | оцінювати дані, інформацію і цифровий контент | аналізувати наукові дані | аналіз наукових і медичних даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,екологічна політика,released,knowledge,cross-sector,,"Місцева, національна та міжнародна політика, спрямована на просування екологічної сталості та розроблення проєктів, що знижують негативний вплив на довкілля та покращують його стан.
	",http://data.europa.eu/esco/isced-f/0521,екологічні науки
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085c8851-2354-44ae-98de-367bdde8bf58,спілкуватися з працівниками пунктів переробки відходів,released,skill/competence,occupation-specific,,"Спілкуватися з підприємствами, які займаються поводженням з небезпечними або безпечними відходами, щоб гарантувати ефективну співпрацю в організації процедур поводження з відходами.
	",http://data.europa.eu/esco/skill/47f14289-3bcd-4575-9cc1-15c582d1da29 | http://data.europa.eu/esco/skill/a19c5139-1250-4a60-9c31-a3243cca06cc,керувати установкою для переробки відходів | спілкування з колегами й клієнтами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,забезпечувати дотримання законодавства про охорону довкілля,released,skill/competence,cross-sector,,"Здійснювати моніторинг діяльності та виконувати завдання щодо забезпечення дотримання стандартів, що стосуються захисту навколишнього середовища та сталого розвитку, а також вносити зміни у діяльність у разі змін в екологічному законодавстві. Упевнятися, що процеси відповідають екологічним нормам і найкращим практикам.
	",http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,забезпечувати дотримання вимог законодавства | дотримання законів і стандартів охорони навколишнього середовища
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,монтувати фотоелектричні панелі,released,skill/competence,occupation-specific,,"Надійно встановлювати фотоелектричні панелі, використовуючи визначену систему кріплення, у визначеному положенні та під визначеним кутом нахилу.
	",http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a,"позиціювання матеріалів, інструментів або обладнання"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,проводити інженерну перевірку на об’єкті,released,skill/competence,cross-sector,,"Збирати інформацію про конструкцію, електрообладнання та іншу інформацію про об’єкт, проводячи інженерну перевірку на об’єкті. Ці дані використовуються для проєктування інженерних рішень, зокрема сонячних енергетичних систем.
	",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3 | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,критично мислити | моніторинг операційної діяльності | обробляти якісну інформацію
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09c28e46-712a-4c11-a4ae-67ae554ea940,консультувати щодо скорочення використання хімікатів,released,skill/competence,cross-sector,,"Надавати консультації щодо скорочення використання хімікатів, зокрема пестицидів, викидів різних хімічних речовин з метою обмеження їхнього впливу на навколишнє середовище, а також зниження ризику для здоров’я людей. Відстежувати нормативні та регуляторні зміни у відповідній галузі.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,консультування з екологічних питань
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,типи генераторів приливних потоків,released,knowledge,sector-specific,,"Різні типи генераторів, як-от турбіни поперечного потоку, турбіни з посиленням потоку, пристрої з ефектом Вентурі або приливні турбіни. Вони використовуються для отримання енергії з водних течій, або в річках, або в естуаріях, за допомогою енергії припливів і відливів, а також у морських підводних течіях.
	",http://data.europa.eu/esco/isced-f/0713,електроенергія та енергія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,проводити енергетичний аудит,released,skill/competence,sector-specific,,"Систематично аналізувати та оцінювати енергоспоживання з метою покращення енергетичних показників.
	",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,критично мислити | аналіз господарських операцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b3ae8c1-771e-4483-b3da-fd420fe6545b,намагатися зберегти склад води,released,skill/competence,occupation-specific,,"Намагатися не змінювати без потреби склад води, видаляючи небажані сполуки.
	",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"експлуатація систем або обладнання для перероблення нафти, хімічних речовин або води"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,"законодавчі вимоги, пов’язані з судноплавством",released,knowledge,sector-specific,,"Конвенції Міжнародної морської організації (ІМО) щодо безпеки життя на морі, охорони та захисту морського середовища.
	",http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa | http://data.europa.eu/esco/isced-f/0421,морське право | право
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,розробляти плани управління,released,skill/competence,sector-specific,,"Розробляти плани управління для збереження рибних запасів та оселищ або їх відновлення, якщо це необхідно.
	",http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"розроблення фінансових, бізнес- або маркетингових планів"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,застосовувати сталі методи обробки ґрунту,released,skill/competence,sector-specific,,"Застосовувати сталі методи обробки ґрунту, зокрема ґрунтозахисну обробку або нульову обробку ґрунту, щоб мінімізувати вплив на ґрунт.
	",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,обробка землі та вирощування сільськогосподарських культур
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,види ізоляційних матеріалів,released,knowledge,cross-sector,,"Різні типи ізоляційних матеріалів і варіанти їх використання, переваги, ризики та вартість.
	",http://data.europa.eu/esco/isced-f/0732,будівництво й цивільна інженерія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,впроваджувати способи зменшення забруднення,released,skill/competence,transversal,,"Уживати заходів для зниження рівня забруднення повітря, шумового забруднення, світлового забруднення, забруднення води або довкілля, наприклад, використовувати громадський транспорт, не забруднювати жодними відходами довкілля та зменшити випромінювання світла і шуму, зокрема вночі.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,"давати поради щодо екологічних проблем, пов’язаних з видобутком корисних копалин",released,skill/competence,sector-specific,,"Консультувати інженерів, геодезистів, геотехнічний персонал та металургів щодо охорони навколишнього середовища та реабілітації земель, пов’язаних з гірничодобувною діяльністю.
	",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733,консультувати інших | консультування з екологічних питань | інформувати про екологічні наслідки гірничої діяльності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,проводити заходи з боротьби з наносами,released,skill/competence,sector-specific,,"Керувати процесами та проєктами з контролю за наносами. Планувати заходи з боротьби з наносами, щоб запобігти забрудненню еродованим ґрунтом прилеглих водних шляхів.
	",http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"організація, планування й складання графіка роботи та діяльності"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,«зелені» обчислення,released,knowledge,occupation-specific,,"Використання систем ІКТ екологічно відповідальним і стійким чином, наприклад, впровадження енергоефективних серверів і центральних процесорів (ЦП), зменшення ресурсів і правильна утилізація електронних відходів.
	",http://data.europa.eu/esco/isced-f/0712,технологія захисту довкілля
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,експлуатувати біогазові установки,released,skill/competence,occupation-specific,,"Експлуатувати обладнання, яке обробляє енергетичні культури та відходи ферм, — установки для анаеробного зброджування. Упевнятися, що обладнання працює належним чином під час перетворення біомаси на біогаз, який використовується для виробництва тепла та електроенергії.
	",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"експлуатація систем або обладнання для перероблення нафти, хімічних речовин або води"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,користуватися обладнанням для знезараження води,released,skill/competence,sector-specific,,"Експлуатувати обладнання для дезінфекції води, використовуючи різні методи та техніки, наприклад механічну фільтрацію, залежно від потреб.
	",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"експлуатація систем або обладнання для перероблення нафти, хімічних речовин або води"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101d63ee-bb22-4a7c-9e0a-c2716063696a,"проводити оцінку охорони праці, безпеки та навколишнього середовища",released,skill/competence,cross-sector,,"Виконувати оцінку охорони здоров’я, безпеки та навколишнього середовища для забезпечення належного робочого середовища та умов праці.
	",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838 | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176 | http://data.europa.eu/esco/skill/60ccdd6a-c100-43cf-9797-543a5c42b922,моніторинг безпеки або охорони | дотримуватися техніки безпеки під час роботи | забезпечувати охорону здоров’я та безпеку на виробництві
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101e6f4c-c892-4812-9e2c-f2b888771bb3,випробовувати лопаті вітрових турбін,released,skill/competence,sector-specific,,"Проводити випробування нових конструкцій лопатей вітротурбін, які призначені для використання на вітрових електростанціях, для перевірки функціональної справності лопатей та безпечності їх використання на цільовій вітровій електростанції.
	",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,установлення дерев’яних і металевих компонентів
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,сталі технології,released,knowledge,cross-sector,,"Технології, які мають на меті зменшити ризики для навколишнього середовища й екологічні ризики та водночас здійснити позитивний економічний і соціальний вплив, а також позитивний вплив на навколишнє середовище. Це інноваційні технології, розроблені для запобігання негативному впливу людства на планету, зменшення такого впливу та відновлення після нього.
	",http://data.europa.eu/esco/isced-f/0712,технологія захисту довкілля
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1063b061-329e-4212-8db4-ab936dc60efc,екологічна економіка,released,knowledge,sector-specific,,"Підгалузь економіки, що вивчає ефективний розподіл екологічних ресурсів, щоб мінімізувати негативні наслідки для навколишнього середовища.
	",http://data.europa.eu/esco/isced-f/0311,економіка
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,розробляти аграрну політику,released,skill/competence,cross-sector,,"Розробляти програми для розробки нових технологій і методологій в сільському господарстві, а також розробки та впровадження покращеної стійкості та екологічної свідомості в сільському господарстві.
	",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,розробка планів досліджень
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,соціальні альянси,released,knowledge,sector-specific,,"Створення партнерств між різними суб’єктами (підприємствами, некомерційними організаціями або організаціями державного сектору), за допомогою яких вони обмінюються ресурсами та знаннями для досягнення спільної мети: зазвичай для вирішення соціальної чи екологічної проблеми.
	",http://data.europa.eu/esco/isced-f/0314,соціологія та культурологія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,сортувати відходи,released,skill/competence,cross-sector,,"Вручну або за допомогою автоматичних пристроїв сортувати відходи, розділяючи їх на різні елементи.
	",http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,сортування матеріалів або продукції
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/111b9dad-b2e0-4b55-8d0f-2e41cb435f64,не допускати шкідливого впливу на кормові добавки,released,skill/competence,occupation-specific,,"Упевнятися, що кормові добавки пройшли наукове оцінювання, щоб дізнатися, чи добавка має будь-який шкідливий вплив на здоров’я людини, тварин або навколишнє середовище.
	",http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,дотримання правил безпеки та гігієни
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20,розробляти процеси поводження з відходами,released,skill/competence,sector-specific,,"Розробляти обладнання, методи та процедури, які можуть бути застосовані на різних типах об’єктів з переробки та утилізації відходів з метою підвищення ефективності процесів поводження з відходами, зменшення впливу на навколишнє середовище та забезпечення безпеки персоналу, який працює з відходами.
	",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,розроблення операційної політики й процедур | утилізувати відходи
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,визначати відповідні системи опалення та охолодження,released,skill/competence,sector-specific,,"Визначати відповідну систему по відношенню до доступних джерел енергії (ґрунт, газ, електрика, район тощо), яка відповідає вимогам «Будинок з нульовим споживанням енергії» (net zero energy building, NZEB).
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,розроблення цілей і стратегій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,перевезення небезпечних матеріалів,released,knowledge,sector-specific,,"Правила та процедури безпеки, пов’язані з транспортуванням небезпечних матеріалів і продуктів, як-от небезпечні відходи, хімікати, вибухові речовини та легкозаймисті матеріали.
	",http://data.europa.eu/esco/isced-f/1041,транспортні послуги
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13f7cd7c-6ec5-4186-8744-de3c780b973d,консультувати щодо ландшафтів,released,skill/competence,occupation-specific,,"Давати поради щодо планування, розвитку та догляду за новими та наявними ландшафтами.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/6ebb869b-3931-4c7f-b168-07e2a271b1bc,консультування з екологічних питань | керувати складними проєктами з благоустрою території
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/145fb42f-ebee-48e2-bdf8-2e935edc7158,дезінфікувати поверхні,released,skill/competence,cross-sector,,"Застосовувати належні процедури прибирання, беручи до уваги безпечне поводження з дезінфікуючими засобами, для видалення забруднень, забруднювачів і бактеріальних ризиків з різних поверхонь, зокрема з фасадів будівель, транспортних засобів і доріг.
	",http://data.europa.eu/esco/skill/2bf2c727-ee42-4fc5-a4d7-2cd62b880433,прибирання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1565b401-1754-4b07-8f1a-eb5869e64d95,наслідки зміни клімату,released,knowledge,cross-sector,,"Вплив зміни клімату на біорізноманіття та умови життя рослин і тварин.
	",http://data.europa.eu/esco/isced-f/0532,науки про Землю
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,енергозберігаючий потенціал автоматизованих вахтових систем,released,knowledge,occupation-specific,,"Потенціал енергозбереження в автоматизованих системах роботи за змінами за допомогою механізмів, як-от підвищення ефективності та краще передбачення майбутніх подій.
	",http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26 | http://data.europa.eu/esco/isced-f/0713,енергоефективність | електроенергія та енергія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17446f6d-d8b0-4945-a37b-9ad0dfc9f3e8,розробляти систему сонячного абсорбційного охолодження,released,skill/competence,sector-specific,,"Розробляти систему генерації абсорбційного охолодження з сонячною регенерацією за допомогою колекторів з тепловими трубками. Розраховувати точну потребу в охолодженні будівлі, щоб вибрати правильну потужність (кВт). Розробляти детальний проєкт установки, засади, стратегію автоматизації, використовуючи доступні вироби та концепції, вибрати відповідні продукти.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,проєктування електричних або електронних систем або обладнання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17447ce4-4c4a-4158-b1ea-03ed5364b4e8,реалізувати плани зберігання органічних побічних продуктів,released,skill/competence,occupation-specific,,"Впроваджувати методи та процедури зберігання органічних побічних продуктів відповідно до чинного законодавства та політики охорони здоров’я і безпеки. Контролювати виконання планів та реагувати на потенційні проблеми.
	",http://data.europa.eu/esco/skill/26532713-d18f-4e5c-8365-1f57e00f8422 | http://data.europa.eu/esco/skill/e6eeb84c-ad99-42e2-b883-e6ce338aef59,керувати складськими операціями | планування операцій і виробничого процесу
