conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0113,підготовка викладачів без предметної спеціалізації,,,released,2023-07-04T10:20:46.297Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0113
SkillGroup,http://data.europa.eu/esco/isced-f/0114,підготовка викладачів із предметною спеціалізацією,,,released,2023-10-30T10:21:08.01Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0114
SkillGroup,http://data.europa.eu/esco/isced-f/0119,"освіта, не віднесена до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0119
SkillGroup,http://data.europa.eu/esco/isced-f/018,"міждисциплінарні програми й кваліфікації, пов’язані з освітою",,,released,2022-01-13T14:49:36.928Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,018
SkillGroup,http://data.europa.eu/esco/isced-f/0188,"міждисциплінарні програми й кваліфікації, пов’язані з освітою",,,released,2022-01-13T14:56:35.789Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0188
SkillGroup,http://data.europa.eu/esco/isced-f/02,мистецтво й гуманітарні науки,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,02
SkillGroup,http://data.europa.eu/esco/isced-f/020,"мистецтво й гуманітарні науки, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,020
SkillGroup,http://data.europa.eu/esco/isced-f/0200,"мистецтво й гуманітарні науки, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0200
SkillGroup,http://data.europa.eu/esco/isced-f/021,мистецтво,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,021
SkillGroup,http://data.europa.eu/esco/isced-f/0210,"мистецтво, не визначене додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0210
SkillGroup,http://data.europa.eu/esco/isced-f/0211,аудіовізуальні технології  та медіапродукція,,,released,2023-07-11T10:40:32.985Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0211
SkillGroup,http://data.europa.eu/esco/isced-f/0212,"мода, інтер’єр і промисловий дизайн",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0212
SkillGroup,http://data.europa.eu/esco/isced-f/0213,образотворче мистецтво,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0213
SkillGroup,http://data.europa.eu/esco/isced-f/0214,ремесла,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0214
SkillGroup,http://data.europa.eu/esco/isced-f/0215,музика й виконавське мистецтво,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0215
SkillGroup,http://data.europa.eu/esco/isced-f/0219,"мистецтва, не віднесені до інших категорій",,,released,2023-07-03T12:59:23.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0219
SkillGroup,http://data.europa.eu/esco/isced-f/022,гуманітарні науки (крім мов),,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,022
SkillGroup,http://data.europa.eu/esco/isced-f/0220,"гуманітарні науки (крім мов), не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0220
SkillGroup,http://data.europa.eu/esco/isced-f/0221,релігія та богослов’я,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0221
SkillGroup,http://data.europa.eu/esco/isced-f/0222,історія та археологія,,,released,2023-10-27T15:38:51.741Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0222
SkillGroup,http://data.europa.eu/esco/isced-f/0223,філософія та етика,,,released,2023-07-03T08:51:02.496Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0223
SkillGroup,http://data.europa.eu/esco/isced-f/0228,"міждисциплінарні програми й кваліфікації, пов’язані з гуманітарними науками",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0228
SkillGroup,http://data.europa.eu/esco/isced-f/0229,"гуманітарні науки (крім мов), не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0229
SkillGroup,http://data.europa.eu/esco/isced-f/023,мови,,,released,2023-07-14T08:12:16.726Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,023
SkillGroup,http://data.europa.eu/esco/isced-f/0230,"мови, не визначені додатково",,,released,2023-10-31T16:01:49.771Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0230
SkillGroup,http://data.europa.eu/esco/isced-f/0231,засвоєння мови,,,released,2024-02-15T09:52:45.02Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0231
SkillGroup,http://data.europa.eu/esco/isced-f/0232,література й лінгвістика,,,released,2023-10-27T15:35:14.724Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0232
SkillGroup,http://data.europa.eu/esco/isced-f/0239,"мови, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0239
SkillGroup,http://data.europa.eu/esco/isced-f/028,"міждисциплінарні програми й кваліфікації, пов’язані з мистецтвом і гуманітарними науками",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,028
SkillGroup,http://data.europa.eu/esco/isced-f/0288,"міждисциплінарні програми й кваліфікації, пов’язані з мистецтвом і гуманітарними науками",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0288
SkillGroup,http://data.europa.eu/esco/isced-f/029,"мистецтво й гуманітарні науки, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,029
SkillGroup,http://data.europa.eu/esco/isced-f/0299,"мистецтво й гуманітарні науки, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0299
SkillGroup,http://data.europa.eu/esco/isced-f/03,"соціальні науки, журналістика й інформація",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,03
SkillGroup,http://data.europa.eu/esco/isced-f/030,"соціальні науки, журналістика й інформація, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,030
SkillGroup,http://data.europa.eu/esco/isced-f/0300,"соціальні науки, журналістика й інформація, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0300
SkillGroup,http://data.europa.eu/esco/isced-f/031,соціальні науки й науки про поведінку,,,released,2023-06-30T10:03:57.744Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,031
SkillGroup,http://data.europa.eu/esco/isced-f/0310,"соціальні науки й науки про поведінку, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0310
SkillGroup,http://data.europa.eu/esco/isced-f/0311,економіка,,,released,2023-07-03T12:57:32.51Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0311
SkillGroup,http://data.europa.eu/esco/isced-f/0312,політичні науки й цивільне право,,,released,2024-01-29T16:20:43.56Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0312
SkillGroup,http://data.europa.eu/esco/isced-f/0313,психологія,,,released,2023-07-03T12:46:46.382Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0313
SkillGroup,http://data.europa.eu/esco/isced-f/0314,соціологія та культурологія,,,released,2023-07-04T12:56:24.33Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0314
SkillGroup,http://data.europa.eu/esco/isced-f/0319,журналістика й інформація,,,released,2025-02-19T14:42:49.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0319
SkillGroup,http://data.europa.eu/esco/isced-f/032,журналістика й інформація,,,released,2023-07-03T07:24:08.118Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,032
SkillGroup,http://data.europa.eu/esco/isced-f/0320,"журналістика й інформація, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0320
SkillGroup,http://data.europa.eu/esco/isced-f/0321,журналістика й репортаж,,,released,2023-07-03T07:23:44.668Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0321
SkillGroup,http://data.europa.eu/esco/isced-f/0322,"бібліотекознавство, інформаційне та архівознавство",,,released,2023-10-27T15:38:41.87Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0322
SkillGroup,http://data.europa.eu/esco/isced-f/0329,"журналістика й інформація, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0329
SkillGroup,http://data.europa.eu/esco/isced-f/038,"міждисциплінарні програми й кваліфікації, пов’язані із соціальними науками, журналістикою та інформацією",,,released,2023-06-29T13:50:39.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/isced-f/0388,"міждисциплінарні програми й кваліфікації, пов’язані із соціальними науками, журналістикою та інформацією",,,released,2023-07-04T08:43:11.281Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0388
SkillGroup,http://data.europa.eu/esco/isced-f/039,"соціальні науки, журналістика й інформація, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,039
SkillGroup,http://data.europa.eu/esco/isced-f/0399,"соціальні науки, журналістика й інформація, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0399
SkillGroup,http://data.europa.eu/esco/isced-f/04,"бізнес, адміністрування й право",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,04
SkillGroup,http://data.europa.eu/esco/isced-f/040,"бізнес, адміністрування й право, не визначені додатково",,,released,2020-12-10T13:24:05.932Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,040
SkillGroup,http://data.europa.eu/esco/isced-f/0400,"бізнес, адміністрування й право, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0400
SkillGroup,http://data.europa.eu/esco/isced-f/041,бізнес й адміністрування,,,released,2023-07-05T08:34:34.635Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,041
SkillGroup,http://data.europa.eu/esco/isced-f/0410,"бізнес й адміністрування, не визначені додатково",,,released,2023-06-20T14:39:25.865Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0410
SkillGroup,http://data.europa.eu/esco/isced-f/0411,бухгалтерський облік і оподаткування,,,released,2023-02-17T13:32:34.671Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0411
SkillGroup,http://data.europa.eu/esco/isced-f/0412,"фінанси, банківська справа й страхування",,,released,2023-07-04T12:47:27.353Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0412
SkillGroup,http://data.europa.eu/esco/isced-f/0413,управління й адміністрування,,,released,2023-07-04T08:25:45.675Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0413
SkillGroup,http://data.europa.eu/esco/isced-f/0414,маркетинг і реклама,,,released,2023-07-04T06:58:16.398Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0414
SkillGroup,http://data.europa.eu/esco/isced-f/0415,секретарська справа й діловодство,,,released,2021-04-14T10:07:44.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0415
SkillGroup,http://data.europa.eu/esco/isced-f/0416,оптова й роздрібна торгівля,,,released,2023-07-04T10:39:53.648Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0416
SkillGroup,http://data.europa.eu/esco/isced-f/0417,робочі навички,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0417
SkillGroup,http://data.europa.eu/esco/isced-f/0419,"бізнес і адміністрування, не віднесені до інших категорій",,,released,2022-06-07T12:48:05.343Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0419
SkillGroup,http://data.europa.eu/esco/isced-f/042,право,,,released,2023-07-05T16:08:11.463Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,042
SkillGroup,http://data.europa.eu/esco/isced-f/0421,право,,,released,2023-07-05T07:04:55.853Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0421
SkillGroup,http://data.europa.eu/esco/isced-f/048,"міждисциплінарні програми й кваліфікації, пов’язані з бізнесом, адмініструванням і правом",,,released,2023-10-30T09:05:29.607Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,048
SkillGroup,http://data.europa.eu/esco/isced-f/0488,"міждисциплінарні програми й кваліфікації, пов’язані з бізнесом, адмініструванням і правом",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0488
SkillGroup,http://data.europa.eu/esco/isced-f/049,"бізнес, адміністрування й право, не віднесені до інших категорій",,,released,2022-06-07T12:45:17.113Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,049
SkillGroup,http://data.europa.eu/esco/isced-f/0499,"бізнес, адміністрування й право, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0499
SkillGroup,http://data.europa.eu/esco/isced-f/05,"природничі науки, математика й статистика",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,05
SkillGroup,http://data.europa.eu/esco/isced-f/050,"природничі науки, математика й статистика, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,050
SkillGroup,http://data.europa.eu/esco/isced-f/0500,"природничі науки, математика й статистика, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0500
SkillGroup,http://data.europa.eu/esco/isced-f/051,біологічні й суміжні науки,,,released,2023-06-30T12:14:05.574Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,051
SkillGroup,http://data.europa.eu/esco/isced-f/0510,"біологічні й суміжні науки, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0510
SkillGroup,http://data.europa.eu/esco/isced-f/0511,біологія,,,released,2023-10-27T15:46:55.213Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0511
SkillGroup,http://data.europa.eu/esco/isced-f/0512,біохімія,,,released,2023-06-30T09:19:04.893Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0512
SkillGroup,http://data.europa.eu/esco/isced-f/0519,"біологічні й суміжні науки, не віднесені до інших категорій",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0519
SkillGroup,http://data.europa.eu/esco/isced-f/052,науки про довкілля,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,052
SkillGroup,http://data.europa.eu/esco/isced-f/0520,"науки про довкілля, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0520
SkillGroup,http://data.europa.eu/esco/isced-f/0521,екологічні науки,,,released,2023-07-04T07:18:15.885Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0521
SkillGroup,http://data.europa.eu/esco/isced-f/0522,науки про природні середовища й дику природу,,,released,2023-06-20T15:39:26.442Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0522
