conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Методи та принципи розроблення програмного забезпечення, як-от аналіз, алгоритми, кодування, тестування та компіляція парадигм програмування в Erlang.
	",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,комп’ютерне програмування | розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,керувати класифікацією даних ІКТ,released,skill/competence,sector-specific,,"Контролювати систему класифікації, якою користується організація для упорядкування даних. Призначати власника кожній концепції даних або групі концепцій і визначати цінність кожного елементу бази даних.
	",http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"керувати архітектурою даних у сфері ІКТ | керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,інформаційна структура,released,knowledge,sector-specific,,"Тип інфраструктури, що визначає формат даних: напівструктуровані, неструктуровані та структуровані.
	",http://data.europa.eu/esco/isced-f/0612,проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,керувати тимчасовими ІКТ-мережами для живих виступів,released,skill/competence,occupation-specific,,"Керувати налаштуванням мереж із метою розподілу контрольних сигналів для додатків, використовуваних у сфері виконавчого мистецтва й організації заходів. Вести скоординовану роботу з різними користувачами. Встановлювати обладнання й пристрої, прокладати кабелі, робити з’єднання, а також виконувати налаштування. Налаштовувати, тестувати й контролювати обладнання та продуктивність мережі. До контрольних сигналів належать, зокрема, DMX, RDM, MIDI, часовий код, дані відстеження й позиціонування, а також звук, відео та сигнали позиціонування.
	",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,налаштування комп’ютерних систем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,стежити за цифровими трансформаціями промислових процесів,released,skill/competence,sector-specific,,"Стежити за цифровими інноваціями, що застосовуються до промислових процесів. Інтегрувати ці трансформації в процеси компанії з метою створення конкурентоспроможних і прибуткових бізнес-моделей.
	",http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,моніторинг розробок у сфері експертизи
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,налаштовувати офісне обладнання,released,skill/competence,occupation-specific,,"Підключати офісне обладнання, зокрема модеми, сканери та принтери, до електричної мережі та виконувати електричне з’єднання, щоб уникнути небезпечної різниці потенціалів. Перевіряти установку на належне функціонування. Контролювати налаштування та готувати прилад до використання.
	",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,виконання загальних канцелярських і адміністративних завдань
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,мова SAS,released,knowledge,sector-specific,,"Методи та принципи розроблення програмного забезпечення, як-от аналіз, алгоритми, кодування, тестування та компіляція парадигм програмування мовою SAS.
	",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a | http://data.europa.eu/esco/isced-f/0613,комп’ютерне програмування | програмне забезпечення системи статистичного аналізу | розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,використовувати спеціальний інтерфейс додатків,released,skill/competence,sector-specific,,"Розумітися на інтерфейсах, зокрема їх застосуванні й варіантах використання.
	",http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,робота з комп’ютерами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,проєктувати електричні системи,released,skill/competence,cross-sector,,"Створювати ескізи та проєктувати електричні системи, продукти та компоненти за допомогою програмного забезпечення та обладнання автоматизованого проєктування (CAD). Креслити схеми розташування панелей, електричні схеми, схеми струмопроводу та інші деталі складання.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,проєктування електричних або електронних систем або обладнання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,визначати правила брандмауера,released,skill/competence,sector-specific,,"Визначати правила для управління набором компонентів, спрямованих на обмеження доступу між групами мереж або окремою мережею й інтернетом.
	",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,захист пристроїв ІКТ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,оперувати системами складського обліку,released,skill/competence,sector-specific,,"Експлуатувати системи для запису інформації про продукцію, пакування та замовлення в певних форматах і типах записів.
	",http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,виконувати складські операції | ведення оперативного обліку
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,released,knowledge,sector-specific,,"Ігровий рушій CryEngine, який є програмним каркасом (фреймворк), що складається з інтегрованих середовищ розроблення та спеціалізованих інструментів проєктування, призначених для швидкої ітерації комп’ютерних ігор, створених користувачами.
	",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,системи створення цифрових ігор | аудіовізуальні технології  та медіапродукція
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,використовувати системи автоматизованого проєктування для розробки підошов,released,skill/competence,sector-specific,,"Оцифровувати й сканувати моделі взуттєвих колодок. Працювати з файлами в різних системах автоматизованого проєктування. За допомогою комп’ютера виготовляти 3D-моделі підошов і створювати 2D-моделі. Розробляти розмірні сітки. Розробляти технічні специфікації для виробництва. Створювати технічні проєкти за допомогою автоматизованого 2D- і 3D-проєктування, а також робити креслення форм для вулканізованих підошов і підошов зі спіненої гуми. Експортувати файли віртуальних моделей у 3D-принтери, системи автоматизованого виробництва або числового програмного керування.
	",http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1 | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,користуватися програмним забезпеченням для систем автоматизованого проєктування | використання засобів комп’ютерного проєктування й креслення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,створювати 3D-середовища,released,skill/competence,sector-specific,,"Розробити згенероване комп’ютером тривимірне представлення середовища, як-от імітація умов, у яких користувачі взаємодіють.
	",http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"працювати з програмним забезпеченням для комп’ютерної 3D-графіки | проєктування промислових матеріалів, систем або виробів"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,виконувати аналіз даних онлайн,released,skill/competence,cross-sector,,"Аналізувати накопичену інформацію й дані, отримані з онлайн-середовищ, щоб зрозуміти поведінку користувача, умови, які впливають на привертання уваги в онлайн-середовищах, та інші фактори, що можуть оптимізувати розробку й показ вебсторінки.
	",http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"виконувати аналіз даних | обробляти якісну інформацію | керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,забезпечувати дотримання вимог ІТ-безпеки,released,skill/competence,sector-specific,,"Керувати програмами й слідкувати за дотриманням відповідних галузевих стандартів, передових методик і юридичних вимог стосовно інформаційної безпеки.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,ключові слова в цифровому контенті,released,knowledge,sector-specific,,"Цифрові інструменти для проведення дослідження ключових слів. Інформаційно-пошукові системи визначають зміст документа за допомогою ключових слів і метаданих.
	",http://data.europa.eu/esco/isced-f/0611,використання комп’ютера
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,служба доменних імен,released,knowledge,sector-specific,,"База даних імен, яка пов’язує імена доменів в інтернеті з адресами міжмережевого протоколу (IP). Система доменних імен (DNS) дозволяє користувачам мережі «Інтернет» використовувати імена на кшталт заголовків вебсайтів замість запам’ятовування числових IP-адрес, використовуваних комп’ютерами для визначення розташування конкретного вебсайту.
	",http://data.europa.eu/esco/isced-f/0612,проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,моделювати медичне обладнання,released,skill/competence,sector-specific,,"Моделювати медичне обладнання й імітувати його роботу за допомогою програмного забезпечення для технічного проєктування.
	",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,використання засобів комп’ютерного проєктування й креслення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,використовувати базу даних клієнтського досвіду,released,skill/competence,sector-specific,,"Перевіряти всі ланцюги й точки взаємодії людей із продуктом, брендом або послугою. Визначати такі ключові змінні як тривалість і частота кожної точки взаємодії.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,програмне забезпечення для титрування,released,knowledge,occupation-specific,,"Різне програмне забезпечення для створення титрів і субтитрів у файлі, що об’єднується з реальним відзнятим матеріалом, наприклад, Telestream і MovieCaptioners.
	",http://data.europa.eu/esco/isced-f/0613,розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,схеми підпису в блокчейні,released,knowledge,sector-specific,,"До основних схем цифрового підпису належать схема RSA, схема Ель-Гамаля, геш-функції, атака «днів народження» та стандарт цифрового підпису.
	",http://data.europa.eu/esco/isced-f/0612,проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,нормалізувати дані,released,skill/competence,sector-specific,,"Зменшувати кількість даних до основних (стандартної форми) з метою мінімізації їх залежності, усунення надмірності й збільшення однорідності.
	",http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"налагоджувати процеси обробки даних | керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,створювати прототип рішень для покращення взаємодії з користувачами,released,skill/competence,sector-specific,,"Розробляти і готувати макети, прототипи і схеми для тестування рішень взаємодії з користувачем (User Experience, UX) або для збору відгуків від користувачів, споживачів, партнерів або зацікавлених сторін.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,управління інформацією
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,застосовувати системну організаційну політику,released,skill/competence,cross-sector,,"Впроваджувати внутрішню політику, пов’язану з розробкою, внутрішнім і зовнішнім використанням технологічних систем, зокрема систем програмного забезпечення, мережевих і телекомунікаційних систем, для досягнення низки цілей і завдань щодо ефективної діяльності та розвитку організації.
	",http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1 | http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f | http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,демонструвати лояльність | застосовувати політику компанії | дотримання операційних процедур
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,пропонувати ІКТ-рішення для розв’язання бізнес-проблем,released,skill/competence,cross-sector,,"Пропонувати, як розв’язувати питання бізнесу, використовуючи засоби ІКТ, щоб удосконалити бізнес-процеси.
	",http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,розв’язувати технічні проблеми | розробляти стратегію розв’язання проблем | проєктування систем або програм ІКТ | знаходити рішення проблем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,розраховувати витрати на ремонтні роботи,released,skill/competence,sector-specific,,"Розраховувати матеріальні та трудові витрати на ремонтні роботи. Розуміти відповідні комп’ютерні програми.
	",http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186 | http://data.europa.eu/esco/skill/cfbde1b6-8e47-4b83-b430-3d5f7f38d69a | http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,проводити розрахунки | оцінювати експлуатаційні витрати | оцінювання потреб у ресурсах
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,програмне забезпечення для управління майном,released,knowledge,sector-specific,,"Властивості й функції програмного забезпечення, яке уможливлює управління щоденними операціями в готельній справі, для оптимізації ресурсів і процесів, як-от бронювання, встановлення вартості номерів, аналізу даних про дохід або виставлення рахунків.
	",http://data.europa.eu/esco/isced-f/1013,"готельний бізнес, ресторани й громадське харчування"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,оперувати системами інтеграції мультимедіа,released,skill/competence,occupation-specific,,"Оперувати системами інтеграції мультимедіа для пристроїв, що використовуються для проведення мистецьких і масових заходів, під час планування, організації та репетицій, а також під час живих виступів.
	",http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,експлуатація аудіовізуального обладнання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,комп’ютерне моделювання,released,knowledge,cross-sector,,"Комп’ютерна програма, яка представляє динамічні реакції системи для дослідження поведінки математичної моделі, що складається з математичних рівнянь і моделює реальну систему.
	",http://data.europa.eu/esco/isced-f/0611,використання комп’ютера
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,released,knowledge,sector-specific,,"Комп’ютерна програма WizIQ — це платформа електронного навчання для створення, адміністрування, організації, звітування та проведення навчальних курсів або навчальних програм електронного навчання.
	",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,системи управління навчанням | проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,адмініструвати систему ІКТ,released,skill/competence,sector-specific,,"Керувати компонентами системи ІКТ шляхом підтримки конфігурації, управління користувачами, контролю використання ресурсів, виконання резервного копіювання й встановлення апаратних чи програмних компонентів для забезпечення відповідності чинним вимогам.
	",http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5 | http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,обслуговувати ІКТ-систему | налаштування комп’ютерних систем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,проводити випробування соціальної інженерії,released,skill/competence,sector-specific,,"Виконувати моделювання атак на соціальну інженерію для виявлення вразливостей у безпековій позиції компанії. Випробування соціальної інженерії можуть включати фішингові електронні листи, претекстинг або інші форми маніпуляцій, які використовуються зловмисниками для отримання чутливої інформації чи несанкціонованого доступу до систем.
	",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838,моніторинг безпеки або охорони
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,розпоряджатись даними досліджень,released,skill/competence,cross-sector,,"Створювати та аналізувати наукові дані, отримані за допомогою якісних та кількісних методів дослідження. Зберігати та підтримувати дані в дослідницьких базах даних. Підтримувати повторне використання наукових даних і бути знайомим з принципами управління відкритими даними.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,управління інформацією
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,цифровий друк,released,knowledge,sector-specific,,"Метод, який дає змогу друкувати цифрове зображення безпосередньо на різних матеріалах, здебільшого за допомогою струменевого або лазерного принтера.
	",http://data.europa.eu/esco/isced-f/0211,аудіовізуальні технології  та медіапродукція
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (інструмент тестування на проникнення),released,knowledge,sector-specific,,"Програмний інструмент Cain and Abel — це інструмент для відновлення пароля, який перевіряє операційну систему Microsoft на наявність слабких місць у системі безпеки та потенційну загрозу несанкціонованого доступу до системної інформації. Інструмент декодує, розшифровує і розкриває паролі за допомогою засобів, як-от методи «грубої сили» і криптоаналізу, аналіз мережі та аналіз протоколів.
	",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,розроблення й аналіз програмного забезпечення та прикладних програм | інструмент для тестування на проникнення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,життєвий цикл розвитку систем,released,knowledge,cross-sector,,"Послідовність кроків, як-от планування, створення, тестування та розгортання, а також моделі для розроблення та керування життєвим циклом системи.
	",http://data.europa.eu/esco/isced-f/0613,розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,"транспортне програмне забезпечення, пов’язане з системою планування ресурсів підприємства",released,knowledge,cross-sector,,"Програмне забезпечення для керування бізнесом, призначене для збору, керування й інтерпретації даних, пов’язаних із доставкою, оплатою, інвентаризацією, виробництвом, які застосовуються в транспортуванні та дистрибуції.
	",http://data.europa.eu/esco/isced-f/0413,управління й адміністрування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,керувати автоматизованими процесами,released,skill/competence,cross-sector,,"Керувати системою автоматизованого управління процесами (PAS), яка використовується для автоматичного управління виробничим процесом.
	",http://data.europa.eu/esco/skill/bf4196e4-839c-4f5f-b13b-eeed07ede160,експлуатація прецизійного промислового обладнання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,керувати процесом запитів на зміну ІКТ,released,skill/competence,sector-specific,,"Визначати причину запиту на зміну ІКТ, вказуючи, які саме зміни в системі необхідно здійснити, і виконувати або контролювати їх виконання.
	",http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,керівництво операційною діяльністю
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,використовувати мову опису інтерфейсу,released,skill/competence,occupation-specific,,"Використовувати незалежну мову програмування як мову специфікації для опису зв’язку інтерфейсу між програмними компонентами або програмами. До мов, які підтримують цей метод, належать CORBA й WSDL.
	",http://data.europa.eu/esco/skill/f6868852-9bf6-4899-a5d6-5f9532fb877d | http://data.europa.eu/esco/skill/b0096dc5-2e2d-4bc1-8172-05bf486c3968 | http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,розробляти інтерфейси компонентів | розробляти інтерфейси додатків | програмування комп’ютерних систем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,планувати міграцію в хмару,released,skill/competence,sector-specific,,"Вибирати поточні робочі навантаження й процеси для можливої міграції в хмару, обирати інструменти для міграції. Обирати нову хмарну архітектуру для існуючого рішення, планувати стратегію переміщення в хмару поточного робочого навантаження.
	",http://data.europa.eu/esco/skill/1e7ed56a-6d6b-422f-962e-38543d150755 | http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,керувати змінами в системі ІКТ | робота з комп’ютерами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a776a56-6ec1-4790-84b3-46d0be706806,використовувати радіолокаційну навігацію,released,skill/competence,sector-specific,,"Використовувати сучасне радіолокаційне навігаційне обладнання для безпечної експлуатації судна.
	",http://data.europa.eu/esco/skill/c6c37f68-190e-4482-905c-93007a64ed61 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,використовувати радіолокаційне обладнання | експлуатація обладнання зв’язку
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,впроваджувати планування маршрутів у послугах розумної мобільності,released,skill/competence,sector-specific,,"Використовувати спеціалізовані пошукові системи, наприклад системи планування маршрутів чи подорожей, щоб запропонувати оптимізовані маршрути, спираючись на різні критерії: вид транспорту, час відправлення й прибуття, місцезнаходження, тривалість подорожі.
	",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,використання цифрових інструментів для співпраці й продуктивності
