conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,апаратник гідрування/апаратниця гідрування,,,released,2024-01-24T09:18:05.061Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Апаратники гідрування контролюють обладнання для обробки базових олій для виробництва маргарину та кондитерського жиру. \n
	",8160.39,http://data.europa.eu/ux2/nace2.1/104
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,оператор із виготовлення макаронних виробів/операторка із виготовлення макаронних виробів,,,released,2024-02-22T16:06:16.592Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори із виготовлення макаронних виробів виготовляють сухі макаронні вироби. Вони вивантажують сировину з силосів для зберігання та систем постачання інгредієнтів. Такі оператори змішують, пресують, вичавлюють сировину, щоб макаронні вироби були достатньо сухими.
	",8160.46,http://data.europa.eu/ux2/nace2.1/1073
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,менеджер тютюнового магазину/менеджерка тютюнового магазину,,,released,2024-01-26T16:51:59.766Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери тютюнового магазину несуть відповідальність за роботу спеціалізованих магазинів і їхній персонал.
	",1420.4.42,http://data.europa.eu/ux2/nace2.1/4726
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"представник служби з оренди інших машин, обладнання й фізичних товарів/представниця служби з оренди інших машин, обладнання й фізичних товарів",,,released,2024-01-25T09:35:09.037Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Представники служби з оренди інших машин, обладнання й фізичних товарів займаються наданням обладнання в оренду та визначенням конкретних термінів користування. Вони документують операції, страхування та платежі.
	",5249.2.1,http://data.europa.eu/ux2/nace2.1/7739
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,маркшейдер,,,released,2024-01-25T15:10:08.054Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Маркшейдери складають і виконують плани видобутку відповідно до законодавчих та управлінських вимог. Вони ведуть облік перебігу гірничодобувних робіт і видобутку руди чи корисних копалин.
	",2165.4.2,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/0891,
http://data.europa.eu/ux2/nace2.1/07,
http://data.europa.eu/ux2/nace2.1/4312,
http://data.europa.eu/ux2/nace2.1/0899"
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,фахівець із безпечності харчових продуктів/фахівчиня із безпечності харчових продуктів,,,released,2024-01-25T10:40:47.807Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Фахівці з безпечності харчових продуктів організовують процеси та впроваджують процедури, щоб уникнути проблем із безпечністю харчових продуктів. Вони дотримуються нормативно-правових актів.
	",2263.2,http://data.europa.eu/ux2/nace2.1/10
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,технік із наземної техніки,,,released,2024-01-25T10:01:35.496Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Техніки із наземної техніки здійснюють технічне обслуговування, капітальний і дрібний ремонт сільськогосподарського обладнання та устаткування.
	",7233.8,http://data.europa.eu/ux2/nace2.1/3312
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,водій автобуса/водійка автобуса,,,released,2024-01-16T13:08:38.228Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Водії автобусів керують автобусами, оплачують проїзд і доглядають за пасажирами.
	",8331.1,"http://data.europa.eu/ux2/nace2.1/4931,
http://data.europa.eu/ux2/nace2.1/4932"
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,менеджер з імпорту й експорту м’яса та м’ясних продуктів/менеджерка з імпорту й експорту м’яса та м’ясних продуктів,,,released,2024-01-26T11:38:36.28Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери з імпорту й експорту м’яса та м’ясних продуктів визначають і проводять процедури, необхідні для ведення міжнародного бізнесу, координуючи діяльність внутрішніх і зовнішніх сторін.
	",1324.3.2.22,"http://data.europa.eu/ux2/nace2.1/4617,
http://data.europa.eu/ux2/nace2.1/4632"
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,фахівець із житлової політики/фахівчиня із житлової політики,,,released,2023-10-31T17:37:46.596Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Фахівці з житлової політики досліджують, аналізують і розробляють житлову політику, яка забезпечує доступне та належне житло для всіх. Вони впроваджують цю політику з метою покращення житлового становища населення за допомогою заходів, як-от будівництво доступного житла, підтримка людей у купівлі нерухомості та покращення умов у наявному житлі. Фахівці з житлової політики тісно співпрацюють із партнерами, зовнішніми організаціями чи іншими зацікавленими сторонами та регулярно надають їм оновлену інформацію.
	",2422.12.8,http://data.europa.eu/ux2/nace2.1/8412
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,шеф-кухар/шеф-кухарка,,,released,2024-01-26T12:38:03.594Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Шеф-кухарі керують кухнею, щоб наглядати за підготовкою, приготуванням і подачею їжі.
	",3434.1.1,http://data.europa.eu/ux2/nace2.1/5611
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,оператор машини з виробництва нетканих матеріалів/операторка машини з виробництва нетканих матеріалів,,,released,2023-12-19T10:24:29.092Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори машини з виробництва нетканих матеріалів виконують хімічні операції обробки нетканих матеріалів.
	",8131.15,http://data.europa.eu/ux2/nace2.1/1395
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,керівник закладу фахової передвищої освіти/керівниця закладу фахової передвищої освіти,,,released,2024-01-26T12:43:59.132Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Керівники закладів фахової передвищої освіти керують повсякденною діяльністю навчального закладу, наприклад коледжу чи закладу професійної (професійно-технічної) освіти. Керівники закладів фахової передвищої освіти ухвалюють рішення щодо зарахування та несуть відповідальність за виконання стандартів навчальних програм, які сприяють навчальному розвитку студентів. Вони керують персоналом, бюджетом школи, програмами студентського містечка та контролюють комунікацію між відділами. Вони також гарантують відповідність закладу національним освітнім вимогам, встановленим законом.
	",1345.1.5,http://data.europa.eu/ux2/nace2.1/8569
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,інспектор з ізоляції/інспекторка з ізоляції,,,released,2025-07-29T10:55:01.302Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Інспектори з ізоляції контролюють ізоляційні роботи. Вони розподіляють завдання та швидко ухвалюють рішення для розв’язання проблем.
	",3123.1.13,http://data.europa.eu/ux2/nace2.1/4323
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,інженер із демонтажу/інженерка із демонтажу,,,released,2024-01-29T16:00:05.821Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Інженери із демонтажу досліджують і планують оптимальний спосіб демонтажу промислового обладнання, машин і будівель, які досягли фази завершення циклу роботи. Вони аналізують необхідну роботу та планують різні операції. Вони дають інструкції керівникам груп і контролюють їхню роботу. \n
	",2149.8,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/3821"
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,спеціаліст з обробки страхових заяв на відшкодування/спеціалістка з обробки страхових заяв на відшкодування,,,released,2024-01-24T15:45:53.002Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Спеціалісти з обробки страхових заяв на відшкодування гарантують, що всі страхові відшкодування обробляються належним чином і страхувальники отримують відповідні виплати. Вони використовують статистичні дані та звітність для розрахунку та коригування претензій за потреби, спілкуються зі страхувальниками та направляють їх, а також відстежують хід розгляду претензій.
	",3315.3,http://data.europa.eu/ux2/nace2.1/6621
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,менеджер із розробки одягу/менеджерка із розробки одягу,,,released,2024-01-16T15:06:01.417Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери із розробки одягу визначають концепції виробу, які підходять для цільових споживачів і загальної маркетингової стратегії. Вони отримують наукові висновки та технічні характеристики, щоб провести інструктаж і втілити всі відповідні сезонні й стратегічні концепції, включно з розподілом за каналом, продуктом, представленням кольору та товарним асортиментом. Вони слідкують, щоб продаж та виконання відбувалися в межах бюджету. Вони керують життєвим циклом лінії виробів і категорій та реалізують їх: від визначення концепції продажів і розповсюдження, дослідження ринку та галузевих тенденцій до впливу на концепції категорій і виробів.
	",1223.2.1.1,http://data.europa.eu/ux2/nace2.1/14
Occupation,http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,2641,автор медичних статей/авторка медичних статей,"автор медичних статей
авторка медичних статей",,released,2023-10-24T15:54:20.773Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Автори медичних статей укладають і опрацьовують наукову документацію у медичній царині. Працюють разом з науковцями, лікарями та іншими медичними фахівцями.",2641.4.5,http://data.europa.eu/ux2/nace2.1/721
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,оператор сепараторів нітрогліцерину/операторка сепараторів нітрогліцерину,,,released,2023-12-19T10:21:40.36Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори сепараторів нітрогліцерину обслуговують гравітаційний сепаратор, який використовується при переробці вибухових речовин, контролюючи температуру та потік рідини, щоб відокремити нітрогліцерин від відпрацьованих кислот.
	",8131.14,http://data.europa.eu/ux2/nace2.1/2059
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,біомедичний інженер/біомедична інженерка,,,released,2024-01-23T11:02:42.406Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations","Біомедичні інженери поєднують знання інженерних принципів і біологічних відкриттів для розробки методів лікування й медикаментів для загальної охорони здоров’я. Вони можуть розробляти різні рішення, починаючи від вдосконалення компонентів звичайних ліків до розробки імплантатів і лікування тканин.
	",2149.5.1,"http://data.europa.eu/ux2/nace2.1/721,
http://data.europa.eu/ux2/nace2.1/7112"
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,законний представник на підставі судового рішення/законна представниця на підставі судового рішення,,,released,2024-01-16T15:56:09.562Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Законні представники на підставі судового рішення надають допомогу і підтримку неповнолітнім дітям, особам з психічною інвалідністю або недієздатним літнім людям в їх особистому житті. Вони можуть розпоряджатися майном своїх підопічних, допомагати їм розпоряджатися фінансами та надавати підтримку з медичними чи соціальними потребами підопічних.
	",3412.2,http://data.europa.eu/ux2/nace2.1/691
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,ткач/ткаля,,,released,2024-01-03T13:36:26.002Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Ткачі займаються ткацьким процесом на традиційних ручних ткацьких машинах (від шовку до килимів, від гладких до жакардових тканин). Вони стежать за станом машин і якістю тканин, як-от ткане полотно для одягу, домашній текстиль або технічна тканина кінцевого використання. Вони виконують механічні роботи на машинах, які перетворюють пряжу на тканини, як-от ковдри, килими, рушники та одяг. Вони ремонтують несправності ткацького верстата, про які повідомляє ткач, і комплектують листи перевірки ткацького верстата.
	",7318.6,http://data.europa.eu/ux2/nace2.1/132
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,лицювальник-плиточник/лицювальниця-плиточниця,,,released,2024-01-23T11:39:11.54Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Лицювальники-плиточники укладають плитку на стіни та підлогу. Вони нарізують плитку потрібного розміру та форми, готують поверхню та укладають плитку на місце врівень і рівно. Лицювальники-плиточники також можуть виконувати творчі та мистецькі проєкти, зокрема з укладання мозаїки.
	",7122.4,http://data.europa.eu/ux2/nace2.1/4333
Occupation,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420,менеджер магазину взуття та шкіряних аксесуарів/менеджерка магазину взуття та шкіряних аксесуарів,,,released,2024-01-26T11:45:55.696Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери магазинів взуття та шкіряних аксесуарів несуть відповідальність за організацію діяльності спеціалізованих магазинів і їхніх працівників.
	",1420.4.38,http://data.europa.eu/ux2/nace2.1/4772
Occupation,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,1439,менеджер туроператора/менеджерка туроператора,,,released,2024-02-23T08:19:23.514Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери туроператорів відповідають за управління персоналом та діяльність туроператорів, пов’язану з організацією пакетних турів та інших туристичних послуг.
	",1439.7,"http://data.europa.eu/ux2/nace2.1/799,
http://data.europa.eu/ux2/nace2.1/7912"
Occupation,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,6123,бджоляр/бджолярка,,,released,2024-02-23T08:35:21.128Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Бджолярі слідкують за кількістю отриманого меду й інших продуктів та доглядають за бджолами. Вони підтримують здоров’я та добробут бджіл.
	",6123.1,http://data.europa.eu/ux2/nace2.1/0148
Occupation,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,3342,помічник юриста з адміністративних питань/помічниця юриста з адміністративних питань,,,released,2024-01-26T14:54:54.775Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Помічники юристів з адміністративних питань займаються щоденною адміністративною діяльністю фірм, нотаріальних контор і компаній. Вони виконують такі дії, як написання листів, відповідають на телефонні дзвінки та набирають текст. Вони поєднують ці види діяльності з конкретними знаннями та розумінням процедур і кодексів, що застосовуються в юридичних справах.
	",3342.2,"http://data.europa.eu/ux2/nace2.1/691,
http://data.europa.eu/ux2/nace2.1/8411,
http://data.europa.eu/ux2/nace2.1/701"
Occupation,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,3134,оператор системи перекачування сирої нафти/операторка системи перекачування сирої нафти,,,released,2025-06-25T07:45:00.959Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори системи перекачування сирої нафти обслуговують насоси, які забезпечують безперебійну циркуляцію нафти та її похідних продуктів. Вони контролюють потік у трубах на нафтопереробному заводі та тестують обладнання, щоб забезпечити мінімальні перебої. Оператори системи перекачування сирої нафти працюють із високоавтоматизованої диспетчерської, де вони спілкуються з іншими працівниками, щоб слідкувати за роботою насосів. Оператори системи перекачування сирої нафти виконують дрібний ремонт і технічне обслуговування та звітують, коли це необхідно.
	",3134.4,http://data.europa.eu/ux2/nace2.1/192
Occupation,http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,8153,виробник захисного одягу/виробниця захисного одягу,,,released,2024-01-26T16:06:17.964Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Виробники захисного одягу виробляють засоби індивідуального захисту (ЗІЗ) з текстилю. Вони виробляють одяг, стійкий до різних небезпек, наприклад, термічних, фізичних, електричних, біологічних та хімічних тощо, добре видимий одяг, що зігріває, який захищає від прохолоди, холоду, дощу, ультрафіолетового сонячного випромінювання тощо.
	",8153.1.5,http://data.europa.eu/ux2/nace2.1/142
Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,8122,оператор установки для нанесення покриття/операторка установки для нанесення покриття,,,released,2025-04-11T13:56:24.722Z,http://data.europa.eu/esco/regulated-professions/regulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори установки для нанесення покриття налаштовують і обслуговують машини для нанесення покриття, які покривають металеві вироби тонким шаром матеріалу, як-от лак, емаль, мідь, нікель, цинк, кадмій, хром або іншим металом, щоб захистити або прикрасити металеві поверхні виробів. Вони керують усіма машинними станціями для нанесення багатьох покриттів.
	",8122.3,http://data.europa.eu/ux2/nace2.1/2551
Occupation,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,6221,менеджер інкубаторію аквакультури/менеджерка інкубаторію аквакультури,,,released,2024-01-23T13:38:55.829Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери інкубаторіїв аквакультури планують, спрямовують і координують широкомасштабне аквакультурне розведення риби та молюсків, розробляючи стратегії розведення аквакультури з використанням різних типів методів нересту. Вони контролюють розмноження та ранні стадії життєвого циклу культивованих видів. Вони наглядають за технікою інкубації, раннім годуванням та вирощуванням культивованих видів.
	",6221.3,http://data.europa.eu/ux2/nace2.1/032
